unique_id,doctor_id,specialty,medication,nb_beneficiaries,spending
NX531425,1255626040,FAMILY PRACTICE,METFORMIN HCL,30,135.24
QG879256,1699761833,FAMILY PRACTICE,ALLOPURINOL,30,715.76
FW363228,1538148804,INTERNAL MEDICINE,LOSARTAN POTASSIUM,146,1056.47
WD733417,1730200619,PSYCHIATRY,OLANZAPINE,13,28226.97
XW149832,1023116894,FAMILY PRACTICE,PRAVASTATIN SODIUM,348,8199.48
QT485324,1952359671,FAMILY PRACTICE,HYDROCHLOROTHIAZIDE,57,247.01
NA293426,1841235223,FAMILY PRACTICE,SEVELAMER CARBONATE,11,4869.32
IF945618,1326095662,INTERNAL MEDICINE,FLUTICASONE/SALMETEROL,20,7832.46
PH384257,1821126830,HEMATOLOGY/ONCOLOGY,ZOLPIDEM TARTRATE,14,65.21
JY407340,1710986088,INTERNAL MEDICINE,MECLIZINE HCL,47,861.67
YQ991094,1205896636,FAMILY PRACTICE,HYDROXYZINE HCL,32,406.34
ZH412110,1275759516,INTERNAL MEDICINE,HYDROCHLOROTHIAZIDE,15,86.07
AH849356,1265427736,FAMILY PRACTICE,TRIAMTERENE/HYDROCHLOROTHIAZID,22,134.17
IL309241,1205936242,PSYCHIATRY,OXCARBAZEPINE,12,200.82
EW629129,1659436004,INTERNAL MEDICINE,METOCLOPRAMIDE HCL,22,130.59
RC456198,1245295013,FAMILY PRACTICE,LORAZEPAM,65,391.65
UV729727,1639158314,OPHTHALMOLOGY,PREDNISOLONE ACETATE,50,2748.9
OA497630,1346414737,INTERNAL MEDICINE,"ESTROGENS, CONJUGATED",19,4777.68
VC423787,1083621510,FAMILY PRACTICE,OMEPRAZOLE,318,4427.46
NU746187,1457431439,FAMILY PRACTICE,ENALAPRIL MALEATE,19,415.59
SO309403,1871698662,NEUROLOGY,MEMANTINE HCL,13,724.86
YX887602,1508917949,NURSE PRACTITIONER,HYDROCHLOROTHIAZIDE,125,467.63
TR408358,1730187634,NURSE PRACTITIONER,SERTRALINE HCL,210,1292.8
FM190767,1548265135,NEPHROLOGY,HYDRALAZINE HCL,42,874.28
XY759578,1114930567,DENTIST,IBUPROFEN,23,67.19
RN173430,1538102819,FAMILY PRACTICE,ROSUVASTATIN CALCIUM,127,38100.04
DY801931,1639309347,INTERNAL MEDICINE,LEVOTHYROXINE SODIUM,161,5530.33
BY554565,1336247592,FAMILY PRACTICE,FLUTICASONE PROPIONATE,40,566.89
LY763308,1568468163,FAMILY PRACTICE,LOSARTAN POTASSIUM,93,852.99
ZR336232,1821291162,FAMILY PRACTICE,CITALOPRAM HYDROBROMIDE,19,127.57
ND283615,1861477069,INTERNAL MEDICINE,LIOTHYRONINE SODIUM,22,989.65
SI644406,1295726651,INTERNAL MEDICINE,EXENATIDE,11,5646.83
MK846377,1215971874,INTERNAL MEDICINE,NAPROXEN,218,1276.42
VQ524113,1639170806,INTERNAL MEDICINE,CELECOXIB,11,1330.93
OL866301,1184619017,INTERNAL MEDICINE,HYDROXYZINE HCL,14,202.99
UA474026,1639382922,FAMILY PRACTICE,ISOSORBIDE MONONITRATE,24,492.66
SV184623,1417093071,PSYCHIATRY,DIVALPROEX SODIUM,31,2283.38
RF688647,1417920422,FAMILY PRACTICE,LISINOPRIL,71,524.52
HP927171,1104024777,SPECIALIST,CARBAMAZEPINE,19,2010.65
TT320151,1023100294,INTERNAL MEDICINE,VALSARTAN,51,3449.66
MS211093,1659506285,FAMILY PRACTICE,ONDANSETRON,11,135.83
RC974366,1154480689,INTERNAL MEDICINE,NEBIVOLOL HCL,26,6466.32
HY627959,1619198603,PSYCHIATRY,PALIPERIDONE,14,15590.35
AM612673,1720044241,INTERNAL MEDICINE,TOPIRAMATE,55,498.93
MO789574,1275504581,FAMILY PRACTICE,OXYCODONE HCL,14,223.67
ZX558770,1093728776,FAMILY PRACTICE,HYDROCODONE/ACETAMINOPHEN,83,2418.99
DC417571,1730474164,PSYCHIATRY,HALOPERIDOL DECANOATE,25,2094.57
ZY750325,1710976089,INTERNAL MEDICINE,LOSARTAN POTASSIUM,112,1532.96
NG173958,1063452936,GENERAL PRACTICE,FAMOTIDINE,19,181.78
XX317476,1174703151,INTERNAL MEDICINE,ATENOLOL,11,55.78
DC876109,1750368510,NEPHROLOGY,LISINOPRIL,80,292.78
NT343368,1427377761,NURSE PRACTITIONER,PIOGLITAZONE HCL,51,1271.57
EL227904,1467562611,INTERVENTIONAL CARDIOLOGY,CLOPIDOGREL BISULFATE,56,691.46
DT550169,1730144528,OBSTETRICS/GYNECOLOGY,HYDROCODONE/ACETAMINOPHEN,11,107.49
IK471476,1396937751,NURSE PRACTITIONER,TRIHEXYPHENIDYL HCL,25,143.84
PE500254,1447342381,PHYSICIAN ASSISTANT,ONDANSETRON HCL,18,282.93
NR408938,1407936230,DENTIST,IBUPROFEN,20,64.2
BM391497,1851310965,FAMILY PRACTICE,RIZATRIPTAN BENZOATE,17,289.96
YS646083,1336231844,FAMILY PRACTICE,METOPROLOL TARTRATE,14,56.27
YE932126,1538321898,FAMILY PRACTICE,PRAVASTATIN SODIUM,30,1159.79
AE975012,1417924309,FAMILY PRACTICE,VALSARTAN,15,1182.2
AD401239,1588631493,INTERNAL MEDICINE,LIRAGLUTIDE,29,24795.43
LV746074,1972590297,INTERNAL MEDICINE,FINASTERIDE,35,412.89
GN320396,1316384928,PHYSICIAN ASSISTANT,DONEPEZIL HCL,17,154.92
VE177644,1013915552,CARDIOLOGY,ESOMEPRAZOLE MAGNESIUM,30,10604.67
VM723322,1336166941,FAMILY PRACTICE,FELODIPINE,11,355.52
PL788328,1003879438,INTERNAL MEDICINE,RITONAVIR,36,9524.79
BZ839028,1750382313,CARDIOLOGY,POTASSIUM CHLORIDE,44,916.65
TP213778,1245201987,ENDOCRINOLOGY,LOSARTAN POTASSIUM,48,431.63
